Year,Week,Address Block,Trap,Trap type,Date,Mosquito number,WNV Present,Species,Lat,Lon,Month
2019,39,100XX W OHARE AIRPORT,T910,GRAVID,2019-09-26 00:09:00,2,negative,CULEX RESTUANS,41.97773755569391,-87.88096903051245,9
2019,39,52XX S KOLMAR AVE,T114,GRAVID,2019-09-26 00:09:00,1,negative,CULEX RESTUANS,41.798210726,-87.736924963,9
2019,39,58XX N WESTERN AVE,T028,GRAVID,2019-09-26 00:09:00,2,negative,CULEX RESTUANS,41.987244608,-87.68941677,9
2019,39,39XX N SPRINGFIELD AVE,T228,GRAVID,2019-09-26 00:09:00,1,negative,CULEX RESTUANS,41.953664152,-87.724987191,9
2019,39,131XX S BRANDON AVE,T209,GRAVID,2019-09-26 00:09:00,9,negative,CULEX RESTUANS,41.657068876,-87.546048865,9
2019,39,21XX N CANNON DR,T054C,GRAVID,2019-09-26 00:09:00,2,negative,CULEX RESTUANS,41.921776903,-87.632140452,9
2019,39,11XX W ROOSEVELT RD,T048,GRAVID,2019-09-26 00:09:00,3,negative,CULEX RESTUANS,41.866915182,-87.654918844,9
2019,39,22XX W 51ST ST,T061,GRAVID,2019-09-26 00:09:00,2,negative,CULEX RESTUANS,41.801047857,-87.680424734,9
2019,39,22XX N CANNON DR,T054A,GRAVID,2019-09-26 00:09:00,1,negative,CULEX TERRITANS,41.922736649,-87.632449967,9
2019,39,3XX W 104TH ST,T095,GRAVID,2019-09-26 00:09:00,1,negative,CULEX SALINARIUS,41.705327644,-87.632955365,9
2019,39,25XX W GRAND AVE,T046,GRAVID,2019-09-26 00:09:00,1,negative,CULEX RESTUANS,41.892219983,-87.691697729,9
2019,39,82XX S KOSTNER AVE,T225,GRAVID,2019-09-26 00:09:00,1,negative,CULEX TERRITANS,41.742670478,-87.731550059,9
2019,39,1XX N CENTRAL PARK DR,T030,GRAVID,2019-09-26 00:09:00,1,negative,CULEX RESTUANS,41.883771777,-87.716168365,9
2019,39,77XX S EBERHART AVE,T080,GRAVID,2019-09-26 00:09:00,8,negative,CULEX RESTUANS,41.754148414,-87.612721023,9
2019,39,77XX S EBERHART AVE,T080,GRAVID,2019-09-26 00:09:00,1,negative,CULEX TERRITANS,41.754148414,-87.612721023,9
2019,39,4XX E 130TH ST,T221,GRAVID,2019-09-26 00:09:00,3,negative,CULEX PIPIENS,41.659236018,-87.612015128,9
2019,39,39XX S ASHLAND AVE,T074,GRAVID,2019-09-26 00:09:00,3,negative,CULEX TERRITANS,41.820858508,-87.665108095,9
2019,39,55XX S NARRAGANSETT AVE,T242,GRAVID,2019-09-26 00:09:00,1,negative,CULEX RESTUANS,41.791689564,-87.781635971,9
2019,39,22XX N CANNON DR,T054B,GRAVID,2019-09-26 00:09:00,2,negative,CULEX TERRITANS,41.9220638,-87.63223306,9
2019,39,39XX S ASHLAND AVE,T074,GRAVID,2019-09-26 00:09:00,3,negative,CULEX RESTUANS,41.820858508,-87.665108095,9
2019,39,25XX S MILLARD AVE,T152,GRAVID,2019-09-26 00:09:00,1,negative,CULEX TERRITANS,41.845715402,-87.715898597,9
2019,39,91XX W HIGGINS RD,T009,GRAVID,2019-09-26 00:09:00,4,negative,CULEX RESTUANS,41.988586396,-87.854473351,9
2019,39,89XX S MUSKEGON AVE,T099,GRAVID,2019-09-26 00:09:00,3,negative,CULEX RESTUANS,41.73318788,-87.55562869,9
2019,39,61XX W FULLERTON AVE,T013,GRAVID,2019-09-26 00:09:00,1,negative,CULEX TERRITANS,41.923887364,-87.778909912,9
2019,39,20XX N DOMINICK ST,T240,GRAVID,2019-09-26 00:09:00,1,negative,CULEX RESTUANS,41.918675754,-87.664374444,9
2019,39,1XX N CENTRAL PARK DR,T030B,SENTINEL,2019-09-26 00:09:00,4,negative,CULEX RESTUANS,41.883711295,-87.716092092,9
2019,39,17XX W 95TH ST,T094,GRAVID,2019-09-26 00:09:00,1,negative,CULEX RESTUANS,41.7212875,-87.665235702,9
2019,39,71XX N HARLEM AVE,T233,GRAVID,2019-09-26 00:09:00,2,negative,CULEX RESTUANS,42.010643274,-87.8067973,9
2019,39,82XX S KOSTNER AVE,T225,GRAVID,2019-09-26 00:09:00,2,negative,CULEX RESTUANS,41.742670478,-87.731550059,9
2019,39,61XX W FULLERTON AVE,T013,GRAVID,2019-09-26 00:09:00,5,negative,CULEX RESTUANS,41.923887364,-87.778909912,9
2019,39,70XX W ARMITAGE AVE,T151,GRAVID,2019-09-26 00:09:00,6,negative,CULEX RESTUANS,41.916134719,-87.801092809,9
2019,39,62XX N MCCLELLAN AVE,T236,GRAVID,2019-09-26 00:09:00,3,negative,CULEX RESTUANS,41.994966304,-87.77083722,9
2019,39,64XX S STONY ISLAND AVE,T077,GRAVID,2019-09-26 00:09:00,1,negative,CULEX RESTUANS,41.778128858,-87.586245035,9
2019,39,25XX S MILLARD AVE,T152,GRAVID,2019-09-26 00:09:00,4,negative,CULEX RESTUANS,41.845715402,-87.715898597,9
2019,39,9XX W GARFIELD BLVD,T226,GRAVID,2019-09-26 00:09:00,1,negative,CULEX RESTUANS,41.794366478,-87.648925137,9
2019,39,41XX N OAK PARK AVE,T002,GRAVID,2019-09-26 00:09:00,1,negative,CULEX RESTUANS,41.956298856,-87.797517445,9
2019,39,3XX W 104TH ST,T095,GRAVID,2019-09-26 00:09:00,2,negative,CULEX RESTUANS,41.705327644,-87.632955365,9
2019,39,101XX S STONY ISLAND AVE,T138,GRAVID,2019-09-26 00:09:00,6,negative,CULEX RESTUANS,41.710542402,-87.584558933,9
2019,39,3XX W 104TH ST,T095,GRAVID,2019-09-26 00:09:00,1,negative,CULEX TERRITANS,41.705327644,-87.632955365,9
2019,39,36XX N PITTSBURGH AVE,T011,GRAVID,2019-09-26 00:09:00,2,negative,CULEX RESTUANS,41.945961094,-87.832942473,9
2019,39,89XX S CARPENTER ST,T159,GRAVID,2019-09-26 00:09:00,3,negative,CULEX RESTUANS,41.731446858,-87.649722253,9
2019,39,10XX E 67TH ST,T073,GRAVID,2019-09-26 00:09:00,1,negative,CULEX RESTUANS,41.773085401,-87.600167559,9
2019,38,36XX N PITTSBURGH AVE,T011,GRAVID,2019-09-19 00:09:00,1,negative,CULEX RESTUANS,41.945961094,-87.832942473,9
2019,38,89XX S CARPENTER ST,T159,GRAVID,2019-09-19 00:09:00,3,negative,CULEX RESTUANS,41.731446858,-87.649722253,9
2019,38,100XX W OHARE AIRPORT,T910,GRAVID,2019-09-19 00:09:00,3,negative,CULEX RESTUANS,41.97773755569391,-87.88096903051245,9
2019,38,22XX N CANNON DR,T054A,GRAVID,2019-09-19 00:09:00,2,negative,CULEX RESTUANS,41.922736649,-87.632449967,9
2019,38,35XX W 51ST ST,T062,GRAVID,2019-09-19 00:09:00,1,negative,CULEX TERRITANS,41.800597087,-87.711730345,9
